2014-03-01 15:46:22,042 [myid:] - INFO  [main:QuorumPeerConfig@101] - Reading configuration from: /home/ubuntu/git/zookeeper/zookeeper-server/z2/bin/../conf/zoo.cfg
2014-03-01 15:46:22,489 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:java.io.tmpdir=/tmp
2014-03-01 15:46:22,489 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:java.compiler=<NA>
2014-03-01 15:46:22,489 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:os.name=Linux
2014-03-01 15:46:22,490 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:os.arch=amd64
2014-03-01 15:46:22,490 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:os.version=3.2.0-52-generic
2014-03-01 15:46:22,490 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:user.name=root
2014-03-01 15:46:22,490 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:user.home=/root
2014-03-01 15:46:22,490 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Environment@100] - Server environment:user.dir=/home/ubuntu/git/zookeeper/zookeeper-server/z2
2014-03-01 15:46:22,491 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:ZooKeeperServer@162] - Created server with tickTime 2000 minSessionTimeout 4000 maxSessionTimeout 40000 datadir ./data/version-2 snapdir ./data/version-2
2014-03-01 15:46:22,492 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:Leader@345] - LEADING - LEADER ELECTION TOOK - 249
2014-03-01 15:46:22,494 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:FileSnap@83] - Reading snapshot ./data/version-2/snapshot.d000000a5
2014-03-01 15:46:22,509 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2182:FileTxnSnapLog@240] - Snapshotting: 0xe000000a1 to ./data/version-2/snapshot.e000000a1
2014-03-01 15:46:22,527 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:37780:LearnerHandler@263] - Follower sid: 1 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@208cb492
2014-03-01 15:46:22,651 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:37780:LearnerHandler@318] - Synchronizing with Follower sid: 1 maxCommittedLog=0xe000000a1 minCommittedLog=0xe00000001 peerLastZxid=0xe000000a1
2014-03-01 15:46:22,652 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:37780:LearnerHandler@395] - Sending DIFF
2014-03-01 15:46:22,728 [myid:2] - WARN  [LearnerHandler-/127.0.0.1:37780:Leader@574] - Commiting zxid 0xf00000000 from /127.0.0.1:3333 not first!
2014-03-01 15:46:22,728 [myid:2] - WARN  [LearnerHandler-/127.0.0.1:37780:Leader@576] - First is 0x0
2014-03-01 15:46:22,729 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:37780:Leader@598] - Have quorum of supporters; starting up and setting last processed zxid: 0xf00000000
2014-03-01 15:46:54,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1445e78c5740002, timeout of 30000ms exceeded
2014-03-01 15:46:54,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1445e78c5740002
2014-03-01 15:46:54,002 [myid:2] - INFO  [SyncThread:2:FileTxnLog@199] - Creating new log file: log.f00000001
2014-03-02 15:29:53,957 [myid:2] - INFO  [/127.0.0.1:3334:QuorumCnxManager$Listener@493] - Received connection request /127.0.0.1:36335
2014-03-02 15:29:53,960 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@542] - Notification: 3 (n.leader), 0xe000000a1 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0xe (n.peerEPoch), LEADING (my state)
2014-03-02 15:29:53,979 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:48704:LearnerHandler@263] - Follower sid: 3 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@66f95a5a
2014-03-02 15:29:54,073 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:48704:LearnerHandler@318] - Synchronizing with Follower sid: 3 maxCommittedLog=0xf00000001 minCommittedLog=0xe00000001 peerLastZxid=0xe000000a1
2014-03-02 15:29:54,073 [myid:2] - INFO  [LearnerHandler-/127.0.0.1:48704:LearnerHandler@395] - Sending DIFF
2014-03-02 15:41:54,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410002, timeout of 15000ms exceeded
2014-03-02 15:41:54,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410002
2014-03-02 15:42:40,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410000, timeout of 35000ms exceeded
2014-03-02 15:42:40,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410000
2014-03-02 15:43:02,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410001, timeout of 35000ms exceeded
2014-03-02 15:43:02,000 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410001
2014-03-02 15:49:08,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410005, timeout of 15000ms exceeded
2014-03-02 15:49:08,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410005
2014-03-02 15:50:20,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410003, timeout of 35000ms exceeded
2014-03-02 15:50:20,001 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410004, timeout of 35000ms exceeded
2014-03-02 15:50:20,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410003
2014-03-02 15:50:20,002 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410004
2014-03-02 15:50:44,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410008, timeout of 15000ms exceeded
2014-03-02 15:50:44,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410008
2014-03-02 15:50:50,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410006, timeout of 35000ms exceeded
2014-03-02 15:50:50,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410006
2014-03-02 15:50:52,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410007, timeout of 35000ms exceeded
2014-03-02 15:50:52,000 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410007
2014-03-02 15:54:21,733 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@627] - Got user-level KeeperException when processing sessionid:0x34481b2f99c0000 type:delete cxid:0x23 zxid:0xf00000029 txntype:-1 reqpath:n/a Error Path:/workers/* Error:KeeperErrorCode = NoNode for /workers/*
2014-03-02 15:54:42,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb341000a, timeout of 35000ms exceeded
2014-03-02 15:54:42,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb341000a
2014-03-02 15:54:50,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410009, timeout of 35000ms exceeded
2014-03-02 15:54:50,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410009
2014-03-02 15:56:20,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb341000d, timeout of 15000ms exceeded
2014-03-02 15:56:20,000 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb341000d
2014-03-02 15:57:38,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb341000b, timeout of 35000ms exceeded
2014-03-02 15:57:38,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb341000b
2014-03-02 15:57:46,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb341000c, timeout of 35000ms exceeded
2014-03-02 15:57:46,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb341000c
2014-03-02 15:58:24,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb341000e, timeout of 35000ms exceeded
2014-03-02 15:58:24,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb341000e
2014-03-02 16:03:46,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410011, timeout of 15000ms exceeded
2014-03-02 16:03:46,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410011
2014-03-02 16:04:08,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410010, timeout of 35000ms exceeded
2014-03-02 16:04:08,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410010
2014-03-02 16:05:16,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb341000f, timeout of 35000ms exceeded
2014-03-02 16:05:16,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb341000f
2014-03-02 16:20:38,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410014, timeout of 15000ms exceeded
2014-03-02 16:20:38,000 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410014
2014-03-02 16:23:46,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410012, timeout of 35000ms exceeded
2014-03-02 16:23:46,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410012
2014-03-02 16:23:48,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410013, timeout of 35000ms exceeded
2014-03-02 16:23:48,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410013
2014-03-02 16:33:30,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410015, timeout of 35000ms exceeded
2014-03-02 16:33:30,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410015
2014-03-02 16:33:34,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410016, timeout of 35000ms exceeded
2014-03-02 16:33:34,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410016
2014-03-02 16:35:36,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410019, timeout of 15000ms exceeded
2014-03-02 16:35:36,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410019
2014-03-02 16:42:28,001 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb341001a, timeout of 35000ms exceeded
2014-03-02 16:42:28,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb341001a
2014-03-02 16:42:32,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410017, timeout of 35000ms exceeded
2014-03-02 16:42:32,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410017
2014-03-02 16:42:38,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410018, timeout of 35000ms exceeded
2014-03-02 16:42:38,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410018
2014-03-02 16:47:56,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb341001b, timeout of 35000ms exceeded
2014-03-02 16:47:56,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb341001b
2014-03-02 16:48:00,001 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb341001c, timeout of 35000ms exceeded
2014-03-02 16:48:00,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb341001c
2014-03-02 16:49:22,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb341001d, timeout of 35000ms exceeded
2014-03-02 16:49:22,001 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb341001e, timeout of 35000ms exceeded
2014-03-02 16:49:22,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb341001d
2014-03-02 16:49:22,002 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb341001e
2014-03-02 16:57:12,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb3410020, timeout of 35000ms exceeded
2014-03-02 16:57:12,000 [myid:2] - INFO  [SessionTracker:ZooKeeperServer@325] - Expiring session 0x1447c9bb341001f, timeout of 35000ms exceeded
2014-03-02 16:57:12,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb3410020
2014-03-02 16:57:12,001 [myid:2] - INFO  [ProcessThread(sid:2 cport:-1)::PrepRequestProcessor@476] - Processed session termination for sessionid: 0x1447c9bb341001f
